" chongzhi1"

"Time      "	".JOINT_qianhou.Element_Force.Y"
0.000000e+00	3.854088e+01
1.000000e-03	3.696341e+01
2.000000e-03	3.908256e+01
3.000000e-03	3.985276e+01
4.000000e-03	4.025972e+01
5.000000e-03	4.051469e+01
6.000000e-03	4.069027e+01
7.000000e-03	4.081899e+01
8.000000e-03	4.091708e+01
9.000000e-03	4.099350e+01
1.000000e-02	4.105417e+01
1.100000e-02	4.110252e+01
1.200000e-02	4.114097e+01
1.300000e-02	4.117290e+01
1.400000e-02	4.120027e+01
1.500000e-02	4.122405e+01
1.600000e-02	4.124478e+01
1.700000e-02	4.126291e+01
1.800000e-02	4.127924e+01
1.900000e-02	4.129437e+01
2.000000e-02	4.130864e+01
2.100000e-02	4.132214e+01
2.200000e-02	4.133492e+01
2.300000e-02	4.134714e+01
2.400000e-02	4.135884e+01
2.500000e-02	4.137009e+01
2.600000e-02	4.138081e+01
2.700000e-02	4.139098e+01
2.800000e-02	4.140061e+01
2.900000e-02	4.140976e+01
3.000000e-02	4.141855e+01
3.100000e-02	4.142702e+01
3.200000e-02	4.143519e+01
3.300000e-02	4.144307e+01
3.400000e-02	4.145063e+01
3.500000e-02	4.145792e+01
3.600000e-02	4.146490e+01
3.700000e-02	4.147166e+01
3.800000e-02	4.147816e+01
3.900000e-02	4.148451e+01
4.000000e-02	4.149052e+01
4.100000e-02	4.149642e+01
4.200000e-02	4.150175e+01
4.300000e-02	4.150713e+01
4.400000e-02	4.151197e+01
4.500000e-02	4.151669e+01
4.600000e-02	4.152117e+01
4.700000e-02	4.152563e+01
4.800000e-02	4.153003e+01
4.900000e-02	4.153421e+01
5.000000e-02	4.153826e+01
5.100000e-02	4.154227e+01
5.200000e-02	4.154626e+01
5.300000e-02	4.155031e+01
5.400000e-02	4.155443e+01
5.500000e-02	4.155861e+01
5.600000e-02	4.156281e+01
5.700000e-02	4.156699e+01
5.800000e-02	4.157120e+01
5.900000e-02	4.157545e+01
6.000000e-02	4.157976e+01
6.100000e-02	4.158407e+01
6.200000e-02	4.158837e+01
6.300000e-02	4.159257e+01
6.400000e-02	4.159666e+01
6.500000e-02	4.160063e+01
6.578848e-02	4.164874e+01
6.600000e-02	1.820479e+03
6.700000e-02	1.817893e+03
6.800000e-02	1.806636e+03
6.900000e-02	1.789804e+03
7.000000e-02	1.779658e+03
7.100000e-02	1.764024e+03
7.200000e-02	1.751043e+03
7.300000e-02	1.738742e+03
7.400000e-02	1.726829e+03
7.500000e-02	1.714663e+03
7.600000e-02	1.702242e+03
7.700000e-02	1.691887e+03
7.800000e-02	1.681150e+03
7.900000e-02	1.669623e+03
8.000000e-02	1.659722e+03
8.100000e-02	1.649484e+03
8.200000e-02	1.640880e+03
8.300000e-02	1.629608e+03
8.400000e-02	1.621799e+03
8.500000e-02	1.611585e+03
8.600000e-02	1.604614e+03
8.700000e-02	1.593914e+03
8.800000e-02	1.587510e+03
8.900000e-02	1.577424e+03
9.000000e-02	1.571790e+03
9.100000e-02	1.561612e+03
9.200000e-02	1.556234e+03
9.300000e-02	1.546409e+03
9.400000e-02	1.541594e+03
9.500000e-02	1.532222e+03
9.600000e-02	1.527161e+03
9.700000e-02	1.518213e+03
9.800000e-02	1.513139e+03
9.900000e-02	1.505542e+03
1.000000e-01	1.497654e+03
1.010000e-01	1.471444e+03
1.020000e-01	1.446755e+03
1.030000e-01	1.423096e+03
1.040000e-01	1.399940e+03
1.050000e-01	1.377384e+03
1.060000e-01	1.355042e+03
1.070000e-01	1.334242e+03
1.080000e-01	1.315142e+03
1.090000e-01	1.295277e+03
1.100000e-01	1.279488e+03
1.110000e-01	1.265412e+03
1.120000e-01	1.278477e+03
1.124167e-01	1.333933e+03
1.126750e-01	3.230892e+03
1.129260e-01	7.600338e+02
1.130000e-01	4.217238e+02
1.133732e-01	1.240044e+02
1.136314e-01	6.729674e+02
1.139036e-01	1.382932e+02
1.140000e-01	8.697611e+01
1.142607e-01	2.710573e+01
1.145420e-01	1.607404e+01
1.147958e-01	1.938555e+01
1.150000e-01	2.977399e+01
1.152720e-01	4.059791e+01
1.155507e-01	4.284167e+01
1.158425e-01	4.145521e+01
1.160000e-01	3.928133e+01
1.164143e-01	2.404109e+01
1.166982e-01	2.604114e+01
1.169604e-01	2.801315e+01
1.170000e-01	2.821175e+01
1.173473e-01	2.915118e+01
1.178954e-01	2.868065e+01
1.180000e-01	2.843867e+01
1.182561e-01	2.781489e+01
1.185147e-01	2.594958e+01
1.190000e-01	2.303243e+01
1.192557e-01	2.167632e+01
1.200000e-01	1.622031e+01
1.210000e-01	9.846035e+00
1.220000e-01	5.238543e+00
1.230000e-01	1.896145e+00
1.240000e-01	-3.157485e-01
1.243740e-01	-6.873544e-01
1.247625e-01	-1.201185e+00
1.250000e-01	-1.731333e+00
1.256570e-01	-2.194567e+00
1.260000e-01	-2.647078e+00
1.270000e-01	-3.247884e+00
1.280000e-01	-3.662061e+00
1.288201e-01	-3.916626e+00
1.290000e-01	-3.919817e+00
1.292503e-01	-3.816492e+00
1.295207e-01	-4.086917e+00
1.300000e-01	-4.099559e+00
1.310000e-01	-4.155054e+00
1.320000e-01	-4.195365e+00
1.330000e-01	-4.223247e+00
1.340000e-01	-4.248106e+00
1.350000e-01	-4.269306e+00
1.360000e-01	-4.292042e+00
1.370000e-01	-4.313316e+00
1.380000e-01	-4.330807e+00
1.390000e-01	-4.342827e+00
1.400000e-01	-4.356305e+00
1.410000e-01	-4.367641e+00
1.420000e-01	-4.379451e+00
1.430000e-01	-4.389997e+00
1.440000e-01	-4.398610e+00
1.450000e-01	-4.344975e+00
1.460000e-01	-4.399410e+00
1.470000e-01	-4.414001e+00
1.480000e-01	-4.414394e+00
1.490000e-01	-4.398238e+00
1.500000e-01	-4.332450e+00
1.510000e-01	-3.119675e+00
1.520000e-01	-4.690728e+00
1.530000e-01	-4.696621e+00
1.540000e-01	-4.702318e+00
1.550000e-01	-4.709053e+00
1.560000e-01	-4.711846e+00
1.570000e-01	-4.722116e+00
1.576048e-01	-5.340165e+00
1.580000e-01	-4.072268e+00
1.588209e-01	-3.250833e+00
1.590000e-01	-4.445036e+00
1.600000e-01	-4.515029e+00
1.610000e-01	-4.531223e+00
1.613961e-01	-3.002846e+00
1.620000e-01	-4.540144e+00
1.630000e-01	-4.550970e+00
1.640000e-01	-4.558259e+00
1.650000e-01	-4.565510e+00
1.660000e-01	-4.573875e+00
1.670000e-01	-4.577370e+00
1.680000e-01	-4.586556e+00
1.690000e-01	-4.594090e+00
1.700000e-01	-4.600789e+00
1.710000e-01	-4.607556e+00
1.720000e-01	-4.614326e+00
1.730000e-01	-4.620705e+00
1.740000e-01	-4.627293e+00
1.750000e-01	-4.633726e+00
1.760000e-01	-4.640513e+00
1.770000e-01	-4.646701e+00
1.780000e-01	-4.651614e+00
1.790000e-01	-4.658397e+00
1.800000e-01	-4.673508e+00
1.810000e-01	-4.670895e+00
1.813989e-01	-9.283073e+00
1.820000e-01	-4.676958e+00
1.830000e-01	-4.680547e+00
1.840000e-01	-4.686803e+00
1.842507e-01	-4.775530e+00
1.850000e-01	-4.693273e+00
1.860000e-01	-4.697620e+00
1.866026e-01	-2.784632e+00
1.870000e-01	-4.702391e+00
1.880000e-01	-4.707886e+00
1.890000e-01	-4.712407e+00
1.900000e-01	-4.717490e+00
1.910000e-01	-4.721611e+00
1.920000e-01	-4.724011e+00
1.930000e-01	-4.730119e+00
1.940000e-01	-4.734696e+00
1.950000e-01	-4.738115e+00
1.960000e-01	-4.742687e+00
1.970000e-01	-4.722304e+00
1.980000e-01	-4.748510e+00
1.990000e-01	-5.263516e+00
2.000000e-01	-4.754517e+00
2.010000e-01	-4.759698e+00
2.020000e-01	-4.761872e+00
2.030000e-01	-4.763185e+00
2.040000e-01	-4.770152e+00
2.045015e-01	-4.213231e+00
2.050000e-01	-4.767287e+00
2.056133e-01	-3.463389e+00
2.059863e-01	-3.661591e+00
2.060000e-01	-4.786321e+00
2.064317e-01	-4.773316e+00
2.070000e-01	-4.777236e+00
2.077166e-01	-4.767573e+00
2.080000e-01	-4.754022e+00
2.083454e-01	-6.100076e+02
2.085962e-01	-4.380646e+00
2.089027e-01	2.425108e+02
2.090000e-01	-3.082891e-01
2.092502e-01	-3.309551e+00
2.095026e-01	-4.497355e+00
2.097671e-01	9.591516e-01
2.100000e-01	-4.777264e+00
2.106935e-01	-3.673463e+00
2.109819e-01	1.757194e+01
2.110000e-01	-3.515915e+00
2.112640e-01	-4.768674e+00
2.120000e-01	-4.769537e+00
2.129651e-01	-3.358296e+00
2.130000e-01	-4.735029e+00
2.140000e-01	-4.767143e+00
2.150000e-01	-4.767148e+00
2.154325e-01	2.385502e+01
2.160000e-01	-4.765914e+00
2.164568e-01	7.535972e+00
2.167372e-01	-3.863585e+00
2.170000e-01	-4.773242e+00
2.180000e-01	-4.763612e+00
2.182511e-01	-5.817574e+00
2.185202e-01	-4.717989e+00
2.190000e-01	-4.762878e+00
2.195412e-01	-3.468622e+00
2.197969e-01	-4.909044e+00
2.200000e-01	-4.739708e+00
2.210000e-01	-4.759141e+00
2.220000e-01	-4.757092e+00
2.230000e-01	-4.755807e+00
2.240000e-01	-4.754179e+00
2.250000e-01	-4.752430e+00
2.260000e-01	-4.750810e+00
2.270000e-01	-4.751847e+00
2.274339e-01	3.847867e+01
2.277096e-01	-4.914169e+00
2.280000e-01	-4.784407e+00
2.286926e-01	-4.696809e+00
2.290000e-01	-4.715040e+00
2.300000e-01	-4.743603e+00
2.310000e-01	-4.742073e+00
2.320000e-01	-4.739516e+00
2.330000e-01	-4.738225e+00
2.340000e-01	-4.736338e+00
2.350000e-01	-4.734290e+00
2.360000e-01	-4.732284e+00
2.370000e-01	-4.727495e+00
2.376678e-01	4.116636e+01
2.379227e-01	-4.606516e+00
2.380000e-01	-4.880003e+00
2.387435e-01	-3.854516e+00
2.390000e-01	-4.745172e+00
2.392612e-01	-4.639124e+00
2.400000e-01	-4.724053e+00
2.406822e-01	3.333097e+01
2.410000e-01	-4.721724e+00
2.420000e-01	-4.719559e+00
2.425856e-01	-1.567730e+00
2.430000e-01	-4.716388e+00
2.440000e-01	-4.715980e+00
2.450000e-01	-4.713028e+00
2.460000e-01	-4.710156e+00
2.470000e-01	-4.709001e+00
2.480000e-01	-4.705654e+00
2.490000e-01	-4.702621e+00
2.500000e-01	-4.700454e+00
2.510000e-01	-4.697850e+00
2.513184e-01	-2.907966e+00
2.516004e-01	-4.827869e+00
2.520000e-01	-4.694059e+00
2.524132e-01	-4.732663e+00
2.526832e-01	-4.669641e+00
2.530000e-01	-4.681245e+00
2.540000e-01	-4.689718e+00
2.547691e-01	2.357731e-01
2.550000e-01	-4.310794e+00
2.556269e-01	-4.641063e+00
2.558830e-01	-4.662059e+00
2.560000e-01	-4.679257e+00
