" chongzhi1"

"Time      "	".JOINT_qianhou.Element_Force.Mag"
0.000000e+00	4.212966e+01
1.000000e-04	1.361473e+01
2.000000e-04	2.373312e+01
3.000000e-04	2.878944e+01
4.000000e-04	3.156170e+01
5.000000e-04	3.329613e+01
6.000000e-04	3.450269e+01
7.000000e-04	3.539550e+01
8.000000e-04	3.608480e+01
9.000000e-04	3.663239e+01
1.000000e-03	3.707876e+01
1.100000e-03	3.744987e+01
1.200000e-03	3.776376e+01
1.300000e-03	3.803213e+01
1.400000e-03	3.826516e+01
1.500000e-03	3.846941e+01
1.600000e-03	3.865000e+01
1.700000e-03	3.881058e+01
1.800000e-03	3.895469e+01
1.900000e-03	3.908500e+01
2.000000e-03	3.920300e+01
2.100000e-03	3.931048e+01
2.200000e-03	3.940905e+01
2.300000e-03	3.949960e+01
2.400000e-03	3.958314e+01
2.500000e-03	3.966062e+01
2.600000e-03	3.973250e+01
2.700000e-03	3.979948e+01
2.800000e-03	3.986208e+01
2.900000e-03	3.992073e+01
3.000000e-03	3.997567e+01
3.100000e-03	4.002742e+01
3.200000e-03	4.007625e+01
3.300000e-03	4.012165e+01
3.400000e-03	4.016493e+01
3.500000e-03	4.020607e+01
3.600000e-03	4.024513e+01
3.700000e-03	4.028224e+01
3.800000e-03	4.031757e+01
3.900000e-03	4.035124e+01
4.000000e-03	4.038335e+01
4.100000e-03	4.041401e+01
4.200000e-03	4.044334e+01
4.300000e-03	4.047143e+01
4.400000e-03	4.049835e+01
4.500000e-03	4.052375e+01
4.600000e-03	4.054884e+01
4.700000e-03	4.057230e+01
4.800000e-03	4.059556e+01
4.900000e-03	4.061763e+01
5.000000e-03	4.063885e+01
5.100000e-03	4.065935e+01
5.200000e-03	4.067905e+01
5.300000e-03	4.069813e+01
5.400000e-03	4.071655e+01
5.500000e-03	4.073435e+01
5.600000e-03	4.075160e+01
5.700000e-03	4.076828e+01
5.800000e-03	4.078439e+01
5.900000e-03	4.080002e+01
6.000000e-03	4.081516e+01
6.100000e-03	4.082985e+01
6.200000e-03	4.084409e+01
6.300000e-03	4.085792e+01
6.400000e-03	4.087135e+01
6.500000e-03	4.088438e+01
6.600000e-03	4.089707e+01
6.700000e-03	4.090938e+01
6.800000e-03	4.092137e+01
6.900000e-03	4.093302e+01
7.000000e-03	4.094436e+01
7.100000e-03	4.095520e+01
7.200000e-03	4.096591e+01
7.300000e-03	4.097637e+01
7.400000e-03	4.098653e+01
7.500000e-03	4.099646e+01
7.600000e-03	4.100612e+01
7.700000e-03	4.101555e+01
7.800000e-03	4.102473e+01
7.900000e-03	4.103369e+01
8.000000e-03	4.104243e+01
8.100000e-03	4.105095e+01
8.200000e-03	4.105928e+01
