"     ankle"

"Time      "	".JOINT_14.Ax_Ay_Az_Projection_Angles.Z"
0.000000e+00	1.193196e-13
5.000000e-04	2.681428e-04
1.000000e-03	8.777096e-04
1.500000e-03	1.536783e-03
2.000000e-03	1.980493e-03
2.500000e-03	2.004898e-03
3.000000e-03	1.489732e-03
3.500000e-03	4.053265e-04
4.000000e-03	-1.196519e-03
4.500000e-03	-3.202915e-03
5.000000e-03	-5.464398e-03
5.500000e-03	-7.816077e-03
6.000000e-03	-1.009179e-02
6.500000e-03	-1.213020e-02
7.000000e-03	-1.377618e-02
7.500000e-03	-1.488401e-02
8.000000e-03	-1.533440e-02
8.500000e-03	-1.506880e-02
9.000000e-03	-1.410981e-02
9.500000e-03	-1.255160e-02
1.000000e-02	-1.052403e-02
1.050000e-02	-8.145945e-03
1.100000e-02	-5.486618e-03
1.150000e-02	-2.550768e-03
1.200000e-02	7.088900e-04
1.250000e-02	4.360162e-03
1.300000e-02	8.454589e-03
1.350000e-02	1.300395e-02
1.400000e-02	1.797950e-02
1.450000e-02	2.333302e-02
1.500000e-02	2.902817e-02
1.550000e-02	3.506650e-02
1.600000e-02	4.149316e-02
1.650000e-02	4.831666e-02
1.700000e-02	5.545083e-02
1.750000e-02	6.279602e-02
1.800000e-02	7.025071e-02
1.850000e-02	7.771290e-02
1.900000e-02	8.507851e-02
1.950000e-02	9.223972e-02
2.000000e-02	9.908589e-02
2.050000e-02	1.055098e-01
2.100000e-02	1.114177e-01
2.150000e-02	1.167430e-01
2.200000e-02	1.214559e-01
2.250000e-02	1.255714e-01
2.300000e-02	1.291473e-01
2.350000e-02	1.322777e-01
2.400000e-02	1.350815e-01
2.450000e-02	1.376889e-01
2.500000e-02	1.402267e-01
2.550000e-02	1.427990e-01
2.600000e-02	1.454589e-01
2.650000e-02	1.482000e-01
2.700000e-02	1.509756e-01
2.750000e-02	1.537353e-01
2.800000e-02	1.564613e-01
2.850000e-02	1.591887e-01
2.900000e-02	1.619994e-01
2.950000e-02	1.649872e-01
3.000000e-02	1.682212e-01
3.050000e-02	1.717108e-01
3.100000e-02	1.753926e-01
3.150000e-02	1.791420e-01
3.200000e-02	1.828051e-01
3.250000e-02	1.862370e-01
3.300000e-02	1.893328e-01
3.350000e-02	1.920321e-01
3.400000e-02	1.943104e-01
3.450000e-02	1.961467e-01
3.500000e-02	1.974991e-01
3.550000e-02	1.982801e-01
3.600000e-02	1.983780e-01
3.650000e-02	1.976533e-01
3.700000e-02	1.960011e-01
3.750000e-02	1.933454e-01
3.800000e-02	1.896805e-01
3.850000e-02	1.850539e-01
3.900000e-02	1.795348e-01
3.950000e-02	1.731958e-01
4.000000e-02	1.660691e-01
4.050000e-02	1.581579e-01
4.100000e-02	1.494396e-01
4.150000e-02	1.398837e-01
4.200000e-02	1.294741e-01
4.250000e-02	1.182260e-01
4.300000e-02	1.061903e-01
4.350000e-02	9.344523e-02
4.400000e-02	8.007730e-02
4.450000e-02	6.615848e-02
4.500000e-02	5.174908e-02
4.550000e-02	3.686637e-02
4.600000e-02	2.150919e-02
4.650000e-02	5.683810e-03
4.700000e-02	-1.057065e-02
4.750000e-02	-2.716844e-02
4.800000e-02	-4.397882e-02
4.850000e-02	-6.084668e-02
4.900000e-02	-7.761644e-02
4.950000e-02	-9.415520e-02
5.000000e-02	-1.103642e-01
5.050000e-02	-1.261746e-01
5.100000e-02	-1.415326e-01
5.150000e-02	-1.563802e-01
5.200000e-02	-1.706435e-01
5.250000e-02	-1.842313e-01
5.300000e-02	-1.970493e-01
5.350000e-02	-2.090195e-01
5.400000e-02	-2.201003e-01
5.450000e-02	-2.302974e-01
5.500000e-02	-2.396613e-01
5.550000e-02	-2.482698e-01
5.600000e-02	-2.562089e-01
5.650000e-02	-2.635543e-01
5.700000e-02	-2.703610e-01
5.750000e-02	-2.766641e-01
5.800000e-02	-2.824893e-01
5.850000e-02	-2.878656e-01
5.900000e-02	-2.928339e-01
