"     ankle"

"Time      "	".JOINT_14.Ax_Ay_Az_Projection_Angles.Z"	".JOINT_15.Ax_Ay_Az_Projection_Angles.Z"
0.000000e+00	1.193196e-13	0.000000e+00
5.000000e-04	2.867062e-04	-1.864450e-05
1.000000e-03	1.019924e-03	-1.461491e-04
1.500000e-03	2.002825e-03	-4.918269e-04
2.000000e-03	3.045414e-03	-1.159545e-03
2.500000e-03	3.984909e-03	-2.236669e-03
3.000000e-03	4.701136e-03	-3.786568e-03
3.500000e-03	5.124587e-03	-5.847420e-03
4.000000e-03	5.237182e-03	-8.438614e-03
4.500000e-03	5.065934e-03	-1.157070e-02
5.000000e-03	4.671338e-03	-1.525354e-02
5.500000e-03	4.134137e-03	-1.949913e-02
6.000000e-03	3.543953e-03	-2.431821e-02
6.500000e-03	2.991709e-03	-2.971222e-02
7.000000e-03	2.565413e-03	-3.566334e-02
7.500000e-03	2.344714e-03	-4.212581e-02
8.000000e-03	2.398312e-03	-4.902424e-02
8.500000e-03	2.785566e-03	-5.626176e-02
9.000000e-03	3.560174e-03	-6.373558e-02
9.500000e-03	4.772994e-03	-7.135408e-02
1.000000e-02	6.471704e-03	-7.904954e-02
1.050000e-02	8.684137e-03	-8.677436e-02
1.100000e-02	1.138331e-02	-9.447796e-02
1.150000e-02	1.451615e-02	-1.021133e-01
1.200000e-02	1.802232e-02	-1.096340e-01
1.250000e-02	2.184268e-02	-1.169948e-01
1.300000e-02	2.591931e-02	-1.241584e-01
1.350000e-02	3.019857e-02	-1.311027e-01
1.400000e-02	3.464065e-02	-1.378229e-01
1.450000e-02	3.923221e-02	-1.443285e-01
1.500000e-02	4.399667e-02	-1.506368e-01
1.550000e-02	4.899734e-02	-1.567659e-01
1.600000e-02	5.433056e-02	-1.627295e-01
1.650000e-02	6.010986e-02	-1.685354e-01
1.700000e-02	6.644267e-02	-1.741884e-01
1.750000e-02	7.336602e-02	-1.797206e-01
1.800000e-02	8.086094e-02	-1.851795e-01
1.850000e-02	8.889309e-02	-1.906066e-01
1.900000e-02	9.739331e-02	-1.960502e-01
1.950000e-02	1.062602e-01	-2.015654e-01
2.000000e-02	1.153587e-01	-2.072168e-01
2.050000e-02	1.245233e-01	-2.130780e-01
2.100000e-02	1.335683e-01	-2.192289e-01
2.150000e-02	1.423037e-01	-2.257501e-01
2.200000e-02	1.505537e-01	-2.327181e-01
2.250000e-02	1.581749e-01	-2.402010e-01
2.300000e-02	1.650678e-01	-2.482574e-01
2.350000e-02	1.711756e-01	-2.569342e-01
2.400000e-02	1.764679e-01	-2.662614e-01
2.450000e-02	1.809246e-01	-2.762508e-01
2.500000e-02	1.845262e-01	-2.868980e-01
2.550000e-02	1.872575e-01	-2.981880e-01
2.600000e-02	1.891195e-01	-3.101025e-01
2.650000e-02	1.901433e-01	-3.226245e-01
2.700000e-02	1.903990e-01	-3.357408e-01
2.750000e-02	1.899915e-01	-3.494388e-01
2.800000e-02	1.890454e-01	-3.637021e-01
2.850000e-02	1.876809e-01	-3.785060e-01
2.900000e-02	1.859918e-01	-3.938158e-01
2.950000e-02	1.840303e-01	-4.095899e-01
3.000000e-02	1.818057e-01	-4.257867e-01
3.050000e-02	1.792947e-01	-4.423724e-01
3.100000e-02	1.764574e-01	-4.593276e-01
3.150000e-02	1.732539e-01	-4.766484e-01
3.200000e-02	1.696531e-01	-4.943430e-01
3.250000e-02	1.656326e-01	-5.124239e-01
3.300000e-02	1.611706e-01	-5.308995e-01
3.350000e-02	1.562366e-01	-5.497687e-01
3.400000e-02	1.507860e-01	-5.690201e-01
3.450000e-02	1.447627e-01	-5.886361e-01
3.500000e-02	1.381070e-01	-6.086000e-01
3.550000e-02	1.307741e-01	-6.289041e-01
3.600000e-02	1.227463e-01	-6.495538e-01
3.650000e-02	1.140399e-01	-6.705663e-01
3.700000e-02	1.047020e-01	-6.919640e-01
3.750000e-02	9.479914e-02	-7.137655e-01
3.800000e-02	8.440048e-02	-7.359787e-01
3.850000e-02	7.356445e-02	-7.585982e-01
3.900000e-02	6.233057e-02	-7.816088e-01
3.950000e-02	5.071932e-02	-8.049934e-01
4.000000e-02	3.873900e-02	-8.287416e-01
4.050000e-02	2.639373e-02	-8.528559e-01
4.100000e-02	1.368900e-02	-8.773528e-01
4.150000e-02	6.320228e-04	-9.022578e-01
4.200000e-02	-1.277272e-02	-9.275972e-01
4.250000e-02	-2.653131e-02	-9.533878e-01
4.300000e-02	-4.066573e-02	-9.796309e-01
4.350000e-02	-5.521351e-02	-1.006311e+00
4.400000e-02	-7.022018e-02	-1.033403e+00
4.450000e-02	-8.572627e-02	-1.060875e+00
4.500000e-02	-1.017530e-01	-1.088701e+00
4.550000e-02	-1.182913e-01	-1.116861e+00
4.600000e-02	-1.352963e-01	-1.145337e+00
4.650000e-02	-1.526911e-01	-1.174113e+00
4.700000e-02	-1.703732e-01	-1.203160e+00
4.750000e-02	-1.882234e-01	-1.232432e+00
4.800000e-02	-2.061129e-01	-1.261867e+00
4.850000e-02	-2.239049e-01	-1.291388e+00
4.900000e-02	-2.414564e-01	-1.320915e+00
4.950000e-02	-2.586143e-01	-1.350371e+00
5.000000e-02	-2.752162e-01	-1.379693e+00
5.050000e-02	-2.910956e-01	-1.408830e+00
5.100000e-02	-3.060918e-01	-1.437744e+00
5.150000e-02	-3.200624e-01	-1.466402e+00
5.200000e-02	-3.328941e-01	-1.494774e+00
5.250000e-02	-3.445118e-01	-1.522825e+00
5.300000e-02	-3.548804e-01	-1.550519e+00
5.350000e-02	-3.639984e-01	-1.577822e+00
5.400000e-02	-3.718909e-01	-1.604713e+00
5.450000e-02	-3.786014e-01	-1.631185e+00
5.500000e-02	-3.841850e-01	-1.657246e+00
5.550000e-02	-3.887077e-01	-1.682925e+00
5.600000e-02	-3.922439e-01	-1.708257e+00
5.650000e-02	-3.948760e-01	-1.733279e+00
5.700000e-02	-3.966752e-01	-1.757993e+00
5.750000e-02	-3.977180e-01	-1.782394e+00
5.800000e-02	-3.980987e-01	-1.806497e+00
5.850000e-02	-3.979215e-01	-1.830339e+00
5.900000e-02	-3.972838e-01	-1.853982e+00
5.950000e-02	-3.962586e-01	-1.877493e+00
6.000000e-02	-3.948830e-01	-1.900934e+00
6.050000e-02	-3.931564e-01	-1.924340e+00
6.100000e-02	-3.910494e-01	-1.947719e+00
6.150000e-02	-3.885212e-01	-1.971051e+00
6.200000e-02	-3.855365e-01	-1.994302e+00
6.250000e-02	-3.820785e-01	-2.017442e+00
6.300000e-02	-3.781525e-01	-2.040459e+00
6.350000e-02	-3.737809e-01	-2.063360e+00
6.400000e-02	-3.689923e-01	-2.086173e+00
6.450000e-02	-3.638111e-01	-2.108930e+00
6.500000e-02	-3.582505e-01	-2.131654e+00
6.550000e-02	-3.523130e-01	-2.154340e+00
6.600000e-02	-3.459957e-01	-2.176960e+00
6.650000e-02	-3.393000e-01	-2.199459e+00
6.700000e-02	-3.322376e-01	-2.221776e+00
6.750000e-02	-3.248327e-01	-2.243858e+00
6.800000e-02	-3.171181e-01	-2.265669e+00
6.850000e-02	-3.091234e-01	-2.287201e+00
6.900000e-02	-3.008668e-01	-2.308462e+00
6.950000e-02	-2.923472e-01	-2.329464e+00
7.000000e-02	-2.835416e-01	-2.350212e+00
7.050000e-02	-2.744095e-01	-2.370691e+00
7.100000e-02	-2.649017e-01	-2.390862e+00
7.150000e-02	-2.549712e-01	-2.410677e+00
7.200000e-02	-2.445826e-01	-2.430087e+00
7.250000e-02	-2.337177e-01	-2.449060e+00
7.300000e-02	-2.223773e-01	-2.467594e+00
7.350000e-02	-2.105810e-01	-2.485714e+00
7.400000e-02	-1.983624e-01	-2.503471e+00
7.450000e-02	-1.857738e-01	-2.520928e+00
7.500000e-02	-1.728778e-01	-2.538142e+00
7.550000e-02	-1.597627e-01	-2.555162e+00
7.600000e-02	-1.465243e-01	-2.572017e+00
7.650000e-02	-1.333000e-01	-2.588736e+00
7.700000e-02	-1.202483e-01	-2.605350e+00
7.750000e-02	-1.075254e-01	-2.621901e+00
7.800000e-02	-9.533131e-02	-2.638464e+00
7.850000e-02	-8.384843e-02	-2.655129e+00
7.900000e-02	-7.326771e-02	-2.672007e+00
7.950000e-02	-6.375478e-02	-2.689196e+00
8.000000e-02	-5.547902e-02	-2.706796e+00
8.050000e-02	-4.856259e-02	-2.724865e+00
8.100000e-02	-4.311706e-02	-2.743447e+00
8.150000e-02	-3.923380e-02	-2.762571e+00
8.200000e-02	-3.698185e-02	-2.782257e+00
8.250000e-02	-3.640796e-02	-2.802527e+00
8.300000e-02	-3.753696e-02	-2.823412e+00
8.350000e-02	-4.037249e-02	-2.844947e+00
8.400000e-02	-4.489818e-02	-2.867172e+00
8.450000e-02	-5.107946e-02	-2.890116e+00
8.500000e-02	-5.886577e-02	-2.913794e+00
8.550000e-02	-6.819304e-02	-2.938195e+00
8.600000e-02	-7.898614e-02	-2.963283e+00
8.650000e-02	-9.116117e-02	-2.989004e+00
8.700000e-02	-1.046273e-01	-3.015291e+00
8.750000e-02	-1.192880e-01	-3.042075e+00
8.800000e-02	-1.350419e-01	-3.069293e+00
8.850000e-02	-1.517829e-01	-3.096885e+00
8.900000e-02	-1.693992e-01	-3.124793e+00
8.950000e-02	-1.877721e-01	-3.152956e+00
9.000000e-02	-2.067744e-01	-3.181298e+00
9.050000e-02	-2.262679e-01	-3.209725e+00
9.100000e-02	-2.461027e-01	-3.238124e+00
9.150000e-02	-2.661162e-01	-3.266370e+00
9.200000e-02	-2.861343e-01	-3.294329e+00
9.250000e-02	-3.059750e-01	-3.321874e+00
9.300000e-02	-3.254520e-01	-3.348890e+00
9.350000e-02	-3.444004e-01	-3.375285e+00
9.400000e-02	-3.626144e-01	-3.400966e+00
9.450000e-02	-3.799376e-01	-3.425869e+00
9.500000e-02	-3.962171e-01	-3.449934e+00
9.550000e-02	-4.113311e-01	-3.473107e+00
9.600000e-02	-4.251819e-01	-3.495340e+00
9.650000e-02	-4.376968e-01	-3.516593e+00
9.700000e-02	-4.488380e-01	-3.536844e+00
9.750000e-02	-4.586012e-01	-3.556095e+00
9.800000e-02	-4.670187e-01	-3.574379e+00
9.850000e-02	-4.741690e-01	-3.591761e+00
9.900000e-02	-4.801522e-01	-3.608323e+00
9.950000e-02	-4.851278e-01	-3.624182e+00
1.000000e-01	-4.892788e-01	-3.639463e+00
1.005000e-01	-4.927812e-01	-3.654272e+00
1.010000e-01	-4.958529e-01	-3.668737e+00
1.015000e-01	-4.986833e-01	-3.682961e+00
1.020000e-01	-5.014621e-01	-3.697052e+00
1.025000e-01	-5.043449e-01	-3.711103e+00
1.030000e-01	-5.074772e-01	-3.725214e+00
1.035000e-01	-5.109594e-01	-3.739461e+00
1.040000e-01	-5.148796e-01	-3.753926e+00
1.045000e-01	-5.192808e-01	-3.768660e+00
1.050000e-01	-5.241711e-01	-3.783689e+00
1.055000e-01	-5.295217e-01	-3.799012e+00
1.060000e-01	-5.352539e-01	-3.814587e+00
1.065000e-01	-5.412671e-01	-3.830358e+00
1.070000e-01	-5.474302e-01	-3.846244e+00
1.075000e-01	-5.535912e-01	-3.862154e+00
1.080000e-01	-5.595887e-01	-3.877990e+00
1.085000e-01	-5.652617e-01	-3.893651e+00
1.090000e-01	-5.704579e-01	-3.909039e+00
1.095000e-01	-5.750396e-01	-3.924057e+00
1.100000e-01	-5.788858e-01	-3.938612e+00
1.105000e-01	-5.818934e-01	-3.952610e+00
1.110000e-01	-5.839761e-01	-3.965964e+00
1.115000e-01	-5.850640e-01	-3.978591e+00
1.120000e-01	-5.851037e-01	-3.990419e+00
1.125000e-01	-5.840594e-01	-4.001391e+00
1.130000e-01	-5.819138e-01	-4.011467e+00
1.135000e-01	-5.786697e-01	-4.020628e+00
1.140000e-01	-5.743493e-01	-4.028873e+00
1.145000e-01	-5.689925e-01	-4.036220e+00
1.150000e-01	-5.626534e-01	-4.042697e+00
1.155000e-01	-5.553967e-01	-4.048346e+00
1.160000e-01	-5.472944e-01	-4.053216e+00
1.165000e-01	-5.384241e-01	-4.057362e+00
1.170000e-01	-5.288700e-01	-4.060847e+00
1.175000e-01	-5.187255e-01	-4.063741e+00
1.180000e-01	-5.080969e-01	-4.066125e+00
1.185000e-01	-4.971073e-01	-4.068093e+00
1.190000e-01	-4.858989e-01	-4.069743e+00
1.195000e-01	-4.746328e-01	-4.071186e+00
1.200000e-01	-4.634866e-01	-4.072534e+00
1.205000e-01	-4.526504e-01	-4.073900e+00
1.210000e-01	-4.423214e-01	-4.075393e+00
1.215000e-01	-4.326990e-01	-4.077115e+00
1.220000e-01	-4.239810e-01	-4.079163e+00
1.225000e-01	-4.163601e-01	-4.081626e+00
1.230000e-01	-4.100220e-01	-4.084585e+00
1.235000e-01	-4.051425e-01	-4.088115e+00
1.240000e-01	-4.018841e-01	-4.092284e+00
1.245000e-01	-4.003918e-01	-4.097155e+00
1.250000e-01	-4.007874e-01	-4.102776e+00
1.255000e-01	-4.031636e-01	-4.109186e+00
1.260000e-01	-4.075800e-01	-4.116408e+00
1.265000e-01	-4.140596e-01	-4.124449e+00
1.270000e-01	-4.225892e-01	-4.133299e+00
1.275000e-01	-4.331217e-01	-4.142934e+00
1.280000e-01	-4.455806e-01	-4.153319e+00
1.285000e-01	-4.598657e-01	-4.164409e+00
1.290000e-01	-4.758584e-01	-4.176151e+00
1.295000e-01	-4.934258e-01	-4.188489e+00
1.300000e-01	-5.124245e-01	-4.201361e+00
1.305000e-01	-5.327026e-01	-4.214701e+00
1.310000e-01	-5.541010e-01	-4.228438e+00
1.315000e-01	-5.764558e-01	-4.242492e+00
1.320000e-01	-5.996003e-01	-4.256782e+00
1.325000e-01	-6.233684e-01	-4.271219e+00
1.330000e-01	-6.475978e-01	-4.285713e+00
1.335000e-01	-6.721324e-01	-4.300174e+00
1.340000e-01	-6.968239e-01	-4.314516e+00
1.345000e-01	-7.215314e-01	-4.328656e+00
1.350000e-01	-7.461199e-01	-4.342514e+00
1.355000e-01	-7.704722e-01	-4.356025e+00
1.360000e-01	-7.944851e-01	-4.369093e+00
1.365000e-01	-8.181786e-01	-4.381589e+00
1.370000e-01	-8.415784e-01	-4.393377e+00
1.375000e-01	-8.646840e-01	-4.404328e+00
1.380000e-01	-8.874600e-01	-4.414323e+00
1.385000e-01	-9.098316e-01	-4.423256e+00
1.390000e-01	-9.316832e-01	-4.431043e+00
1.395000e-01	-9.528607e-01	-4.437619e+00
1.400000e-01	-9.731754e-01	-4.442946e+00
1.405000e-01	-9.924117e-01	-4.447008e+00
1.410000e-01	-1.010336e+00	-4.449813e+00
1.415000e-01	-1.026711e+00	-4.451387e+00
1.420000e-01	-1.041312e+00	-4.451772e+00
1.425000e-01	-1.053946e+00	-4.451024e+00
1.430000e-01	-1.064470e+00	-4.449210e+00
1.435000e-01	-1.072809e+00	-4.446406e+00
1.440000e-01	-1.078973e+00	-4.442695e+00
1.445000e-01	-1.083085e+00	-4.438154e+00
1.450000e-01	-1.085387e+00	-4.432848e+00
1.455000e-01	-1.086216e+00	-4.426831e+00
1.460000e-01	-1.085938e+00	-4.420155e+00
1.465000e-01	-1.084885e+00	-4.412888e+00
1.470000e-01	-1.083303e+00	-4.405113e+00
1.475000e-01	-1.081339e+00	-4.396936e+00
1.480000e-01	-1.079060e+00	-4.388471e+00
1.485000e-01	-1.076498e+00	-4.379829e+00
1.490000e-01	-1.073694e+00	-4.371102e+00
1.495000e-01	-1.070726e+00	-4.362354e+00
1.500000e-01	-1.067708e+00	-4.353621e+00
1.505000e-01	-1.064755e+00	-4.344924e+00
1.510000e-01	-1.061945e+00	-4.336276e+00
1.515000e-01	-1.059282e+00	-4.327696e+00
1.520000e-01	-1.056694e+00	-4.319211e+00
1.525000e-01	-1.054048e+00	-4.310855e+00
1.530000e-01	-1.051204e+00	-4.302665e+00
1.535000e-01	-1.048104e+00	-4.294651e+00
1.540000e-01	-1.044811e+00	-4.286796e+00
1.545000e-01	-1.041423e+00	-4.279087e+00
1.550000e-01	-1.038028e+00	-4.271524e+00
1.555000e-01	-1.034711e+00	-4.264121e+00
1.560000e-01	-1.031584e+00	-4.256889e+00
1.565000e-01	-1.028764e+00	-4.249840e+00
1.570000e-01	-1.026364e+00	-4.242988e+00
1.575000e-01	-1.024495e+00	-4.236350e+00
1.580000e-01	-1.023255e+00	-4.229950e+00
1.585000e-01	-1.022731e+00	-4.223823e+00
1.590000e-01	-1.022988e+00	-4.218018e+00
1.595000e-01	-1.024067e+00	-4.212599e+00
