"     ankle"

"Time      "	".JOINT_14.Ax_Ay_Az_Projection_Angles.Z"	".JOINT_15.Ax_Ay_Az_Projection_Angles.Z"
0.000000e+00	1.193196e-13	0.000000e+00
5.000000e-04	2.934116e-04	1.469648e-05
1.000000e-03	1.071370e-03	1.153606e-04
1.500000e-03	2.173747e-03	3.871096e-04
2.000000e-03	3.447101e-03	9.061153e-04
2.500000e-03	4.764777e-03	1.727413e-03
3.000000e-03	6.041306e-03	2.877208e-03
3.500000e-03	7.238859e-03	4.352502e-03
4.000000e-03	8.366162e-03	6.129163e-03
4.500000e-03	9.470962e-03	8.174025e-03
5.000000e-03	1.062817e-02	1.045478e-02
5.500000e-03	1.192730e-02	1.294369e-02
6.000000e-03	1.346205e-02	1.561418e-02
6.500000e-03	1.532310e-02	1.843268e-02
7.000000e-03	1.759392e-02	2.135019e-02
7.500000e-03	2.034771e-02	2.429801e-02
8.000000e-03	2.364350e-02	2.719089e-02
8.500000e-03	2.752099e-02	2.993759e-02
9.000000e-03	3.199262e-02	3.245499e-02
9.500000e-03	3.702369e-02	3.469035e-02
1.000000e-02	4.251803e-02	3.663683e-02
1.050000e-02	4.832924e-02	3.832991e-02
1.100000e-02	5.429594e-02	3.982637e-02
1.150000e-02	6.028698e-02	4.117578e-02
1.200000e-02	6.623810e-02	4.239747e-02
1.250000e-02	7.216526e-02	4.347297e-02
1.300000e-02	7.815022e-02	4.435694e-02
1.350000e-02	8.430544e-02	4.500142e-02
1.400000e-02	9.073423e-02	4.538208e-02
1.450000e-02	9.750274e-02	4.551492e-02
1.500000e-02	1.046343e-01	4.545580e-02
1.550000e-02	1.121262e-01	4.528307e-02
1.600000e-02	1.199780e-01	4.507057e-02
1.650000e-02	1.282164e-01	4.486253e-02
1.700000e-02	1.369038e-01	4.466069e-02
1.750000e-02	1.461235e-01	4.442845e-02
1.800000e-02	1.559185e-01	4.412686e-02
1.850000e-02	1.662012e-01	4.377125e-02
1.900000e-02	1.768361e-01	4.339476e-02
1.950000e-02	1.876613e-01	4.304499e-02
2.000000e-02	1.985062e-01	4.277932e-02
2.050000e-02	2.092066e-01	4.265739e-02
2.100000e-02	2.196194e-01	4.273210e-02
2.150000e-02	2.296318e-01	4.304253e-02
