" chongzhi1"

"Time      "	"Leg_ya_huang_1.force"
0.000000e+00	4.662617e-10
1.000000e-03	9.995403e-03
2.000000e-03	1.937490e-02
3.000000e-03	2.474346e-02
4.000000e-03	2.785432e-02
5.000000e-03	3.536863e-02
6.000000e-03	5.076806e-02
7.000000e-03	6.726930e-02
8.000000e-03	7.704124e-02
9.000000e-03	8.101349e-02
1.000000e-02	8.911253e-02
1.100000e-02	1.058296e-01
1.200000e-02	1.213982e-01
1.300000e-02	1.283116e-01
1.400000e-02	1.335309e-01
1.500000e-02	1.476684e-01
1.600000e-02	1.649766e-01
1.700000e-02	1.740249e-01
1.800000e-02	1.789803e-01
1.900000e-02	1.920104e-01
2.000000e-02	2.094201e-01
2.100000e-02	2.189496e-01
2.200000e-02	2.242466e-01
2.300000e-02	2.378014e-01
2.400000e-02	2.546832e-01
2.500000e-02	2.631478e-01
2.600000e-02	2.694791e-01
2.700000e-02	2.846428e-01
2.800000e-02	3.000207e-01
2.900000e-02	3.071808e-01
3.000000e-02	3.153124e-01
3.100000e-02	3.312252e-01
3.200000e-02	3.449197e-01
3.300000e-02	3.515396e-01
3.400000e-02	3.614935e-01
3.500000e-02	3.777781e-01
3.600000e-02	3.896743e-01
3.700000e-02	3.961070e-01
3.800000e-02	4.080120e-01
3.900000e-02	4.240091e-01
4.000000e-02	4.338901e-01
4.100000e-02	4.413964e-01
4.174345e-02	4.682438e-01
4.200000e-02	1.126974e+00
4.273438e-02	2.849161e+00
4.300000e-02	3.459621e+00
4.400000e-02	5.914982e+00
4.500000e-02	8.375734e+00
4.600000e-02	1.086124e+01
4.700000e-02	1.334614e+01
4.800000e-02	1.588778e+01
4.900000e-02	1.839911e+01
5.000000e-02	2.096149e+01
5.100000e-02	2.349626e+01
5.200000e-02	2.609017e+01
5.300000e-02	2.866263e+01
5.400000e-02	3.126513e+01
5.500000e-02	3.387696e+01
5.600000e-02	3.648867e+01
5.700000e-02	3.912926e+01
5.800000e-02	4.176098e+01
5.900000e-02	4.441593e+01
6.000000e-02	4.707627e+01
6.100000e-02	4.974482e+01
6.200000e-02	5.242785e+01
6.300000e-02	5.511403e+01
6.400000e-02	5.781527e+01
6.500000e-02	6.052208e+01
6.600000e-02	6.324055e+01
6.700000e-02	6.596618e+01
6.800000e-02	6.870309e+01
6.900000e-02	7.144561e+01
7.000000e-02	7.419728e+01
7.100000e-02	7.696086e+01
7.200000e-02	7.972750e+01
7.300000e-02	8.250770e+01
7.400000e-02	8.529321e+01
7.500000e-02	8.808844e+01
7.600000e-02	9.089136e+01
7.700000e-02	9.370133e+01
7.800000e-02	9.652062e+01
7.900000e-02	9.934687e+01
8.000000e-02	1.021817e+02
8.100000e-02	1.050235e+02
8.200000e-02	1.078727e+02
8.300000e-02	1.107300e+02
8.400000e-02	1.135944e+02
8.500000e-02	1.164664e+02
8.600000e-02	1.193452e+02
8.700000e-02	1.222310e+02
8.800000e-02	1.251243e+02
8.900000e-02	1.280244e+02
9.000000e-02	1.309316e+02
9.100000e-02	1.338450e+02
9.200000e-02	1.367652e+02
9.300000e-02	1.396920e+02
9.400000e-02	1.426253e+02
9.500000e-02	1.455651e+02
9.600000e-02	1.485105e+02
9.700000e-02	1.514621e+02
9.800000e-02	1.544198e+02
9.900000e-02	1.573832e+02
1.000000e-01	1.603503e+02
1.010000e-01	1.632905e+02
1.020000e-01	1.661876e+02
