"+5 angle gnd impact joint"

"Time      "	".JOINT_qianhou.Element_Force.Mag"
0.000000e+00	4.212966e+01
5.000000e-04	3.329616e+01
1.000000e-03	3.707845e+01
1.500000e-03	3.846927e+01
2.000000e-03	3.920305e+01
2.500000e-03	3.966047e+01
3.000000e-03	3.997540e+01
3.500000e-03	4.020604e+01
4.000000e-03	4.038339e+01
4.500000e-03	4.052400e+01
5.000000e-03	4.063890e+01
5.500000e-03	4.073442e+01
6.000000e-03	4.081523e+01
6.500000e-03	4.088449e+01
7.000000e-03	4.094417e+01
7.500000e-03	4.099656e+01
8.000000e-03	4.104250e+01
8.500000e-03	4.108324e+01
9.000000e-03	4.111934e+01
9.500000e-03	4.115150e+01
1.000000e-02	4.118020e+01
1.050000e-02	4.120585e+01
1.100000e-02	4.122874e+01
1.150000e-02	4.124899e+01
1.200000e-02	4.126713e+01
1.250000e-02	4.128373e+01
1.300000e-02	4.129908e+01
1.350000e-02	4.131327e+01
1.400000e-02	4.132647e+01
1.450000e-02	4.133880e+01
1.500000e-02	4.135027e+01
1.550000e-02	4.136098e+01
1.600000e-02	4.137093e+01
1.650000e-02	4.138027e+01
1.700000e-02	4.138928e+01
1.750000e-02	4.139765e+01
1.800000e-02	4.140567e+01
1.850000e-02	4.141339e+01
1.900000e-02	4.142082e+01
1.950000e-02	4.142802e+01
2.000000e-02	4.143496e+01
2.050000e-02	4.144176e+01
2.100000e-02	4.144833e+01
2.150000e-02	4.145482e+01
2.200000e-02	4.146110e+01
2.250000e-02	4.146727e+01
2.300000e-02	4.147331e+01
2.350000e-02	4.147924e+01
2.400000e-02	4.148514e+01
2.450000e-02	4.149090e+01
2.500000e-02	4.149645e+01
2.550000e-02	4.150184e+01
2.600000e-02	4.150716e+01
2.650000e-02	4.151233e+01
2.700000e-02	4.151736e+01
2.750000e-02	4.152225e+01
2.800000e-02	4.152702e+01
2.850000e-02	4.153166e+01
2.900000e-02	4.153621e+01
2.950000e-02	4.154066e+01
3.000000e-02	4.154503e+01
3.050000e-02	4.154931e+01
3.100000e-02	4.155351e+01
3.150000e-02	4.155765e+01
3.200000e-02	4.156170e+01
3.250000e-02	4.156568e+01
3.300000e-02	4.156961e+01
3.350000e-02	4.157328e+01
3.400000e-02	4.157711e+01
3.450000e-02	4.158074e+01
3.500000e-02	4.158439e+01
3.550000e-02	4.158786e+01
3.600000e-02	4.159122e+01
3.650000e-02	4.159462e+01
3.700000e-02	4.159798e+01
3.750000e-02	4.160128e+01
3.800000e-02	4.160453e+01
3.850000e-02	4.160772e+01
3.900000e-02	4.161086e+01
3.950000e-02	4.161395e+01
4.000000e-02	4.161697e+01
4.050000e-02	4.161993e+01
4.100000e-02	4.162280e+01
4.150000e-02	4.162560e+01
4.200000e-02	4.162832e+01
4.250000e-02	4.163095e+01
4.300000e-02	4.163351e+01
4.350000e-02	4.163599e+01
4.400000e-02	4.163842e+01
4.450000e-02	4.164101e+01
4.500000e-02	4.164320e+01
4.550000e-02	4.164565e+01
4.600000e-02	4.164800e+01
4.650000e-02	4.165023e+01
4.700000e-02	4.165243e+01
4.750000e-02	4.165462e+01
4.800000e-02	4.165676e+01
4.850000e-02	4.165887e+01
4.900000e-02	4.166095e+01
4.950000e-02	4.166300e+01
5.000000e-02	4.166502e+01
5.050000e-02	4.166703e+01
5.100000e-02	4.166903e+01
5.150000e-02	4.167102e+01
5.200000e-02	4.167303e+01
5.250000e-02	4.167504e+01
5.300000e-02	4.167708e+01
5.350000e-02	4.167912e+01
5.400000e-02	4.168118e+01
5.450000e-02	4.168326e+01
5.500000e-02	4.168533e+01
5.550000e-02	4.168741e+01
5.600000e-02	4.168949e+01
5.650000e-02	4.169156e+01
5.700000e-02	4.169364e+01
5.750000e-02	4.169571e+01
5.800000e-02	4.169780e+01
5.850000e-02	4.169989e+01
5.900000e-02	4.170200e+01
5.950000e-02	4.170412e+01
6.000000e-02	4.170625e+01
6.050000e-02	4.170838e+01
6.100000e-02	4.171052e+01
6.150000e-02	4.171264e+01
6.200000e-02	4.171475e+01
6.250000e-02	4.171684e+01
6.300000e-02	4.171889e+01
6.350000e-02	4.172092e+01
6.400000e-02	4.172292e+01
6.450000e-02	4.172490e+01
6.500000e-02	4.172685e+01
6.550000e-02	4.172882e+01
6.600000e-02	4.173061e+01
6.650000e-02	4.173258e+01
6.700000e-02	4.173446e+01
6.750000e-02	4.173638e+01
6.800000e-02	4.173820e+01
6.850000e-02	4.174009e+01
6.900000e-02	4.174184e+01
6.950000e-02	4.174356e+01
7.000000e-02	4.174529e+01
7.050000e-02	4.174703e+01
7.100000e-02	4.174872e+01
7.150000e-02	4.175040e+01
7.200000e-02	4.175205e+01
7.250000e-02	4.175370e+01
7.300000e-02	4.175532e+01
7.350000e-02	4.175693e+01
7.400000e-02	4.175850e+01
7.450000e-02	4.176006e+01
7.500000e-02	4.176157e+01
7.550000e-02	4.176305e+01
7.600000e-02	4.176448e+01
7.650000e-02	4.176588e+01
7.700000e-02	4.176724e+01
7.750000e-02	4.176856e+01
7.800000e-02	4.177004e+01
7.850000e-02	4.177120e+01
7.900000e-02	4.177260e+01
7.950000e-02	4.177392e+01
8.000000e-02	4.177514e+01
8.050000e-02	4.177635e+01
8.100000e-02	4.177754e+01
8.150000e-02	4.177870e+01
8.200000e-02	4.177984e+01
8.250000e-02	4.178094e+01
8.300000e-02	4.178202e+01
8.350000e-02	4.178309e+01
8.400000e-02	4.178414e+01
8.450000e-02	4.178518e+01
8.500000e-02	4.178622e+01
8.550000e-02	4.178726e+01
8.600000e-02	4.178829e+01
8.650000e-02	4.178933e+01
8.700000e-02	4.179036e+01
8.750000e-02	4.179139e+01
8.800000e-02	4.179241e+01
8.850000e-02	4.179343e+01
8.900000e-02	4.179445e+01
8.950000e-02	4.179547e+01
9.000000e-02	4.179650e+01
9.050000e-02	4.179755e+01
9.100000e-02	4.179861e+01
9.150000e-02	4.179969e+01
9.200000e-02	4.180080e+01
9.250000e-02	4.180194e+01
9.300000e-02	4.180309e+01
9.350000e-02	4.180426e+01
9.400000e-02	4.180545e+01
9.450000e-02	4.180664e+01
9.500000e-02	4.180786e+01
9.550000e-02	4.180908e+01
9.600000e-02	4.181032e+01
9.650000e-02	4.181158e+01
9.700000e-02	4.181285e+01
9.750000e-02	4.181413e+01
9.800000e-02	4.181544e+01
9.850000e-02	4.181664e+01
9.900000e-02	4.181796e+01
9.950000e-02	4.181925e+01
1.000000e-01	4.182066e+01
1.005000e-01	4.182184e+01
1.010000e-01	4.182302e+01
1.015000e-01	4.182427e+01
1.020000e-01	4.182543e+01
1.025000e-01	4.182659e+01
1.030000e-01	4.182773e+01
1.035000e-01	4.182883e+01
1.040000e-01	4.182990e+01
1.045000e-01	4.183094e+01
1.050000e-01	4.183194e+01
1.053905e-01	8.290773e+01
1.055000e-01	3.055753e+04
1.056252e-01	3.131250e+04
1.057506e-01	2.848390e+04
1.058943e-01	2.653153e+04
1.060000e-01	2.411253e+04
1.065000e-01	1.935908e+04
1.070000e-01	1.549574e+04
1.075000e-01	1.242337e+04
1.080000e-01	1.005822e+04
1.085000e-01	8.078084e+03
1.090000e-01	6.606742e+03
1.095000e-01	5.432486e+03
1.100000e-01	4.396294e+03
1.105000e-01	3.602022e+03
1.110000e-01	2.973546e+03
1.115000e-01	2.423549e+03
1.120000e-01	1.964022e+03
1.125000e-01	1.611169e+03
1.130000e-01	1.342954e+03
1.135000e-01	1.120606e+03
1.140000e-01	9.247444e+02
1.145000e-01	7.557501e+02
1.150000e-01	6.146289e+02
1.155000e-01	4.999558e+02
1.160000e-01	4.078424e+02
1.165000e-01	3.359090e+02
1.170000e-01	2.793270e+02
1.175000e-01	2.337154e+02
1.180000e-01	1.954760e+02
1.185000e-01	1.615772e+02
1.190000e-01	1.318088e+02
1.195000e-01	1.061613e+02
1.200000e-01	8.484179e+01
1.205000e-01	6.785429e+01
1.210000e-01	5.472796e+01
1.213313e-01	4.784105e+01
1.215000e-01	4.482960e+01
1.220000e-01	3.750748e+01
1.225000e-01	3.209548e+01
1.230000e-01	2.782182e+01
1.235000e-01	2.446616e+01
1.240000e-01	2.229151e+01
1.241667e-01	2.142495e+01
1.245000e-01	1.984726e+01
1.250000e-01	1.758502e+01
1.251591e-01	1.654170e+01
1.253491e-01	1.461713e+01
1.254776e-01	1.379694e+01
1.255000e-01	1.366741e+01
1.258389e-01	1.180011e+01
1.260000e-01	1.117544e+01
1.261411e-01	1.004552e+01
1.263311e-01	9.406110e+00
1.265000e-01	8.501225e+00
1.270000e-01	6.458981e+00
1.275000e-01	4.883676e+00
1.280000e-01	3.723646e+00
1.285000e-01	2.981494e+00
1.290000e-01	2.483892e+00
1.295000e-01	2.154909e+00
1.300000e-01	1.926744e+00
1.305000e-01	1.809710e+00
1.310000e-01	1.869442e+00
1.315000e-01	2.267249e+00
1.320000e-01	2.779580e+00
1.325000e-01	3.520852e+00
1.326256e-01	3.373411e+00
1.330000e-01	4.396622e+00
1.335000e-01	1.277507e+02
1.336731e-01	1.465857e+03
1.338892e-01	1.352641e+03
1.340000e-01	5.603990e+02
1.341375e-01	1.227818e+02
1.343722e-01	1.318398e+02
1.345000e-01	1.255234e+02
1.346369e-01	1.103533e+02
1.347893e-01	9.178257e+01
1.349337e-01	7.339078e+01
1.350000e-01	6.540800e+01
1.351556e-01	4.945606e+01
1.353081e-01	3.639776e+01
1.354469e-01	2.761193e+01
1.355000e-01	2.443035e+01
1.356256e-01	1.816004e+01
1.358018e-01	1.249231e+01
1.360000e-01	7.915763e+00
1.365000e-01	3.577932e+00
1.370000e-01	2.873825e+00
1.375000e-01	3.140748e+00
1.380000e-01	3.564313e+00
1.385000e-01	4.007137e+00
1.390000e-01	4.332956e+00
1.395000e-01	4.642594e+00
1.400000e-01	4.936375e+00
1.405000e-01	5.215163e+00
1.410000e-01	5.478723e+00
1.415000e-01	5.726787e+00
1.420000e-01	5.958940e+00
1.425000e-01	6.174392e+00
