" simu_foot"

"Time      "	"SPRING_1.force"
0.000000e+00	-7.812844e-11
1.000000e-03	1.176844e-03
2.000000e-03	3.291227e-03
3.000000e-03	5.581220e-03
4.000000e-03	5.974072e-03
5.000000e-03	1.184588e-02
6.000000e-03	1.493076e-02
7.000000e-03	1.786171e-02
8.000000e-03	2.000551e-02
9.000000e-03	1.301728e-02
1.000000e-02	1.659414e-02
1.100000e-02	1.912419e-02
1.200000e-02	2.023307e-02
1.300000e-02	2.038696e-02
1.400000e-02	2.014484e-02
1.500000e-02	1.986357e-02
1.600000e-02	1.968137e-02
1.700000e-02	1.960377e-02
1.800000e-02	1.816906e-02
1.900000e-02	1.563561e-02
2.000000e-02	7.080734e-03
2.100000e-02	1.194887e-02
2.200000e-02	5.994646e-03
2.239022e-02	-1.845381e-02
2.270875e-02	-9.486022e-02
2.300000e-02	-1.449071e-01
2.400000e-02	-2.770121e-01
2.500000e-02	-3.822705e-01
2.600000e-02	-4.567187e-01
2.625000e-02	-4.698970e-01
2.700000e-02	-4.965768e-01
2.800000e-02	-5.067454e-01
2.858984e-02	-5.017881e-01
2.884619e-02	-4.984688e-01
2.900000e-02	-4.964226e-01
2.932050e-02	-4.894732e-01
3.000000e-02	-4.679434e-01
3.100000e-02	-4.234705e-01
3.131250e-02	-4.073085e-01
3.156250e-02	-3.938398e-01
3.200000e-02	-3.696082e-01
3.300000e-02	-3.140006e-01
3.388095e-02	-2.690571e-01
3.400000e-02	-2.634595e-01
3.425000e-02	-2.522573e-01
3.451563e-02	-2.410016e-01
3.500000e-02	-2.225296e-01
3.600000e-02	-1.927843e-01
3.665185e-02	-1.833923e-01
3.700000e-02	-1.805717e-01
3.725000e-02	-1.803928e-01
3.800000e-02	-1.848142e-01
3.900000e-02	-2.081113e-01
3.931901e-02	-2.176589e-01
4.000000e-02	-2.483877e-01
4.100000e-02	-3.103610e-01
4.200000e-02	-3.891788e-01
4.226550e-02	-4.228125e-01
4.258975e-02	-4.546891e-01
4.300000e-02	-4.996396e-01
4.400000e-02	-6.305424e-01
4.500000e-02	-7.876363e-01
4.600000e-02	-9.735805e-01
4.700000e-02	-1.190360e+00
4.800000e-02	-1.439969e+00
4.900000e-02	-1.722988e+00
5.000000e-02	-2.038141e+00
5.100000e-02	-2.381539e+00
5.200000e-02	-2.746785e+00
5.300000e-02	-3.124083e+00
5.400000e-02	-3.501010e+00
5.500000e-02	-3.864402e+00
5.600000e-02	-4.202069e+00
5.700000e-02	-4.506119e+00
5.800000e-02	-4.775631e+00
5.900000e-02	-5.017415e+00
6.000000e-02	-5.245506e+00
6.100000e-02	-5.478841e+00
6.200000e-02	-5.737535e+00
6.300000e-02	-6.038456e+00
6.400000e-02	-6.390895e+00
6.500000e-02	-6.793263e+00
6.600000e-02	-7.231876e+00
6.700000e-02	-7.682896e+00
6.800000e-02	-8.117939e+00
6.900000e-02	-8.512528e+00
7.000000e-02	-8.854922e+00
7.100000e-02	-9.151589e+00
7.200000e-02	-9.426521e+00
7.300000e-02	-9.716098e+00
7.400000e-02	-1.005409e+01
7.500000e-02	-1.045806e+01
7.600000e-02	-1.092258e+01
7.700000e-02	-1.141714e+01
7.800000e-02	-1.189757e+01
7.900000e-02	-1.232469e+01
8.000000e-02	-1.268333e+01
8.100000e-02	-1.299252e+01
8.200000e-02	-1.329768e+01
8.300000e-02	-1.364948e+01
8.400000e-02	-1.407845e+01
8.500000e-02	-1.457794e+01
8.600000e-02	-1.510358e+01
8.700000e-02	-1.559501e+01
8.800000e-02	-1.601172e+01
8.900000e-02	-1.635534e+01
9.000000e-02	-1.667110e+01
9.100000e-02	-1.702692e+01
9.200000e-02	-1.746852e+01
9.300000e-02	-1.799048e+01
9.400000e-02	-1.853554e+01
9.500000e-02	-1.902885e+01
9.600000e-02	-1.942912e+01
9.700000e-02	-1.976030e+01
9.800000e-02	-2.009706e+01
9.900000e-02	-2.051275e+01
1.000000e-01	-2.102607e+01
1.010000e-01	-2.158393e+01
1.020000e-01	-2.209849e+01
1.030000e-01	-2.251365e+01
1.040000e-01	-2.285061e+01
1.050000e-01	-2.319416e+01
1.060000e-01	-2.362615e+01
1.070000e-01	-2.415796e+01
1.080000e-01	-2.471605e+01
1.090000e-01	-2.520350e+01
1.100000e-01	-2.558431e+01
1.110000e-01	-2.591299e+01
1.120000e-01	-2.629612e+01
1.130000e-01	-2.678982e+01
1.140000e-01	-2.734949e+01
1.150000e-01	-2.786648e+01
1.160000e-01	-2.827154e+01
1.170000e-01	-2.860125e+01
1.180000e-01	-2.896469e+01
1.190000e-01	-2.943855e+01
1.200000e-01	-2.998955e+01
1.210000e-01	-3.050378e+01
1.220000e-01	-3.090250e+01
1.230000e-01	-3.122656e+01
1.240000e-01	-3.159463e+01
1.250000e-01	-3.207686e+01
1.260000e-01	-3.261833e+01
1.270000e-01	-3.309744e+01
1.280000e-01	-3.345992e+01
1.290000e-01	-3.377918e+01
1.300000e-01	-3.417453e+01
1.310000e-01	-3.467726e+01
1.320000e-01	-3.519265e+01
1.330000e-01	-3.560855e+01
1.340000e-01	-3.592634e+01
1.350000e-01	-3.626254e+01
1.360000e-01	-3.670912e+01
1.370000e-01	-3.721997e+01
1.380000e-01	-3.766475e+01
1.390000e-01	-3.799297e+01
1.400000e-01	-3.829675e+01
1.410000e-01	-3.869434e+01
1.420000e-01	-3.918145e+01
1.430000e-01	-3.963433e+01
1.440000e-01	-3.996825e+01
1.450000e-01	-4.025128e+01
1.460000e-01	-4.061523e+01
1.470000e-01	-4.107896e+01
1.480000e-01	-4.152089e+01
1.490000e-01	-4.184473e+01
1.500000e-01	-4.210876e+01
1.510000e-01	-4.245053e+01
1.520000e-01	-4.289509e+01
1.530000e-01	-4.331815e+01
1.540000e-01	-4.361807e+01
1.550000e-01	-4.386020e+01
1.560000e-01	-4.418879e+01
1.570000e-01	-4.461992e+01
1.580000e-01	-4.501312e+01
1.590000e-01	-4.527406e+01
1.600000e-01	-4.549584e+01
1.610000e-01	-4.582331e+01
1.620000e-01	-4.624125e+01
1.630000e-01	-4.659339e+01
1.640000e-01	-4.680958e+01
1.650000e-01	-4.701648e+01
1.660000e-01	-4.734819e+01
1.670000e-01	-4.774537e+01
1.680000e-01	-4.804158e+01
1.690000e-01	-4.821145e+01
1.700000e-01	-4.841523e+01
1.710000e-01	-4.875650e+01
1.720000e-01	-4.912173e+01
1.730000e-01	-4.935085e+01
1.740000e-01	-4.947905e+01
1.750000e-01	-4.969247e+01
1.760000e-01	-5.004147e+01
1.770000e-01	-5.035431e+01
1.780000e-01	-5.050329e+01
1.785000e-01	-5.054790e+01
1.790000e-01	-5.061071e+01
1.800000e-01	-5.085693e+01
1.810000e-01	-5.119495e+01
1.820000e-01	-5.142270e+01
1.830000e-01	-5.150032e+01
1.840000e-01	-5.161849e+01
1.845000e-01	-5.174111e+01
1.850000e-01	-5.189537e+01
1.860000e-01	-5.218500e+01
1.870000e-01	-5.231123e+01
1.876667e-01	-5.233309e+01
1.880000e-01	-5.235100e+01
1.890000e-01	-5.250993e+01
1.900000e-01	-5.279172e+01
1.910000e-01	-5.299270e+01
1.920000e-01	-5.302835e+01
1.930000e-01	-5.307332e+01
1.935000e-01	-5.315665e+01
1.940000e-01	-5.327626e+01
1.950000e-01	-5.351692e+01
1.960000e-01	-5.360509e+01
1.963333e-01	-5.360133e+01
1.966667e-01	-5.359342e+01
1.970000e-01	-5.359094e+01
1.980000e-01	-5.368076e+01
1.990000e-01	-5.389754e+01
2.000000e-01	-5.404590e+01
2.010000e-01	-5.403323e+01
2.020000e-01	-5.402358e+01
2.030000e-01	-5.416301e+01
2.040000e-01	-5.433835e+01
2.050000e-01	-5.436849e+01
2.055000e-01	-5.433547e+01
2.060000e-01	-5.430506e+01
2.070000e-01	-5.434368e+01
2.080000e-01	-5.449485e+01
2.090000e-01	-5.457038e+01
2.100000e-01	-5.450197e+01
2.110000e-01	-5.445009e+01
2.120000e-01	-5.453363e+01
2.130000e-01	-5.463371e+01
2.140000e-01	-5.459413e+01
2.150000e-01	-5.448461e+01
2.160000e-01	-5.448176e+01
2.170000e-01	-5.456903e+01
2.180000e-01	-5.456695e+01
2.190000e-01	-5.444047e+01
2.200000e-01	-5.435293e+01
2.210000e-01	-5.439073e+01
2.220000e-01	-5.442005e+01
2.230000e-01	-5.431073e+01
2.240000e-01	-5.415629e+01
